Species_ID,Common_Name,Scientific_Name,Class,Order,Family,IUCN_Status,Risk_Score,Population_Trend,Native_Region,Countries,Habitat,Diet,Primary_Threats,Conservation_Actions,Key_Fact,Nepal_Relevance,Map_Latitude,Map_Longitude,Featured,IUCN_Source,Wikipedia_Source,Last_Reviewed
SP011,Great Hornbill,Buceros bicornis,Aves,Bucerotiformes,Bucerotidae,Vulnerable,3,Decreasing,South and Southeast Asia,India; Nepal; Bhutan; Bangladesh; Myanmar; Thailand; Malaysia; Indonesia,Evergreen and moist deciduous forests,Mostly fruit,Deforestation; hunting; loss of nesting trees,Forest protection; nest guarding; community conservation,Important seed disperser,Yes,27.1,87.9,No,https://www.iucnredlist.org/search?query=Buceros%20bicornis&searchType=species,https://en.wikipedia.org/wiki/Great_Hornbill,2026-08-10
SP012,Whale Shark,Rhincodon typus,Chondrichthyes,Orectolobiformes,Rhincodontidae,Endangered,4,Decreasing,Tropical/warm oceans worldwide,Global tropical and subtropical marine range,Open ocean; coastal feeding areas; reefs,Plankton and small nekton,Bycatch; ship strikes; fishing; marine pollution,Fishing protection; bycatch reduction; MPAs; tourism management,World's largest living fish,No,10.0,73.0,Yes,https://www.iucnredlist.org/search?query=Rhincodon%20typus&searchType=species,https://en.wikipedia.org/wiki/Whale_Shark,2026-08-10
SP013,Hawksbill Sea Turtle,Eretmochelys imbricata,Reptilia,Testudines,Cheloniidae,Critically Endangered,5,Decreasing,Tropical oceans worldwide,Atlantic; Indian; Pacific tropical nations,Coral reefs; lagoons; nesting beaches,Mostly sponges,Illegal shell trade; bycatch; nesting beach loss; climate change,Trade bans; nest protection; bycatch reduction; MPAs,Helps maintain coral-reef diversity,No,5.0,80.0,No,https://www.iucnredlist.org/search?query=Eretmochelys%20imbricata&searchType=species,https://en.wikipedia.org/wiki/Hawksbill_Sea_Turtle,2026-08-10
SP014,Bornean Orangutan,Pongo pygmaeus,Mammalia,Primates,Hominidae,Critically Endangered,5,Decreasing,Borneo,Indonesia; Malaysia,Lowland/montane tropical forests; peat swamps,Mostly fruit,Deforestation; plantations; fire; hunting; fragmentation,Forest protection; corridors; law enforcement; rehabilitation,Highly intelligent great ape and seed disperser,No,0.7,114.0,No,https://www.iucnredlist.org/search?query=Pongo%20pygmaeus&searchType=species,https://en.wikipedia.org/wiki/Bornean_Orangutan,2026-08-10
SP015,Sumatran Orangutan,Pongo abelii,Mammalia,Primates,Hominidae,Critically Endangered,5,Decreasing,Northern Sumatra,Indonesia,Tropical rainforests; peat swamps,Mostly fruit,Forest conversion; roads; fragmentation; hunting,Forest protection; land-use planning; anti-poaching; corridors,Most remaining individuals occur in northern Sumatra,No,3.5,97.5,No,https://www.iucnredlist.org/search?query=Pongo%20abelii&searchType=species,https://en.wikipedia.org/wiki/Sumatran_Orangutan,2026-08-10
SP016,Javan Rhinoceros,Rhinoceros sondaicus,Mammalia,Perissodactyla,Rhinocerotidae,Critically Endangered,5,Decreasing,Java,Indonesia,Lowland tropical rainforest,Herbivore,Tiny range; disease; natural disasters; invasive plants,Intensive protection; habitat management; disease monitoring,Survives in a single protected landscape,No,-6.75,105.3,Yes,https://www.iucnredlist.org/search?query=Rhinoceros%20sondaicus&searchType=species,https://en.wikipedia.org/wiki/Javan_Rhinoceros,2026-08-10
SP017,Sumatran Rhinoceros,Dicerorhinus sumatrensis,Mammalia,Perissodactyla,Rhinocerotidae,Critically Endangered,5,Decreasing,Sumatra and Borneo,Indonesia,Dense tropical and montane forests,Herbivore,Tiny fragmented populations; habitat loss; low breeding; poaching legacy,Protection; managed breeding; habitat conservation; surveys,Smallest living rhinoceros,No,-2.5,102.5,No,https://www.iucnredlist.org/search?query=Dicerorhinus%20sumatrensis&searchType=species,https://en.wikipedia.org/wiki/Sumatran_Rhinoceros,2026-08-10
SP018,Vaquita,Phocoena sinus,Mammalia,Artiodactyla,Phocoenidae,Critically Endangered,5,Decreasing,Northern Gulf of California,Mexico,Shallow coastal marine waters,Fish and squid,Gillnet entanglement,Gillnet elimination; enforcement; alternative gear; acoustic monitoring,Smallest geographic range of any marine cetacean,No,31.0,-114.5,Yes,https://www.iucnredlist.org/search?query=Phocoena%20sinus&searchType=species,https://en.wikipedia.org/wiki/Vaquita,2026-08-10
SP019,African Forest Elephant,Loxodonta cyclotis,Mammalia,Proboscidea,Elephantidae,Critically Endangered,5,Decreasing,Central and West African forests,Gabon; Republic of the Congo; Cameroon; Central African Republic,Tropical lowland rainforest,Herbivore,Ivory poaching; habitat loss and fragmentation,Anti-poaching; forest protection; corridors; trade controls,Major seed disperser in tropical forests,No,0.5,15.0,No,https://www.iucnredlist.org/search?query=Loxodonta%20cyclotis&searchType=species,https://en.wikipedia.org/wiki/African_Forest_Elephant,2026-08-10
SP020,African Savanna Elephant,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Endangered,4,Decreasing,Sub-Saharan Africa,Multiple countries in eastern and southern Africa,Savannas; grasslands; woodlands; wetlands,Herbivore,Ivory poaching; habitat loss; conflict,Anti-poaching; landscape protection; conflict mitigation,Largest living terrestrial animal,No,-4.0,25.0,No,https://www.iucnredlist.org/search?query=Loxodonta%20africana&searchType=species,https://en.wikipedia.org/wiki/African_Savanna_Elephant,2026-08-10
SP021,Blue Whale,Balaenoptera musculus,Mammalia,Artiodactyla,Balaenopteridae,Endangered,4,Increasing,Oceans worldwide,Global marine range,Open ocean; productive feeding grounds,Krill,Ship strikes; entanglement; underwater noise; prey changes,Shipping management; entanglement reduction; hunting prohibition,Largest animal known to have lived,No,-30.0,-100.0,Yes,https://www.iucnredlist.org/search?query=Balaenoptera%20musculus&searchType=species,https://en.wikipedia.org/wiki/Blue_Whale,2026-08-10
SP022,Eastern Gorilla,Gorilla beringei,Mammalia,Primates,Hominidae,Critically Endangered,5,Decreasing,Central Africa,DR Congo; Rwanda; Uganda,Montane and lowland tropical forests,Mainly plant material,Habitat loss; hunting; instability; disease,Protected areas; veterinary monitoring; anti-poaching; community conservation,Includes mountain and eastern lowland gorillas,No,-1.5,29.2,No,https://www.iucnredlist.org/search?query=Gorilla%20beringei&searchType=species,https://en.wikipedia.org/wiki/Eastern_Gorilla,2026-08-10
SP023,Black Rhinoceros,Diceros bicornis,Mammalia,Perissodactyla,Rhinocerotidae,Critically Endangered,5,Increasing,Eastern and southern Africa,Kenya; Namibia; South Africa; Zimbabwe; Tanzania and others,Savannas; shrublands; semi-desert,Browser / herbivore,Poaching; habitat pressure; isolated populations,Protection; translocation; population management; enforcement,Uses a pointed upper lip for browsing,No,-20.0,25.0,No,https://www.iucnredlist.org/search?query=Diceros%20bicornis&searchType=species,https://en.wikipedia.org/wiki/Black_Rhinoceros,2026-08-10
SP024,African Wild Dog,Lycaon pictus,Mammalia,Carnivora,Canidae,Endangered,4,Decreasing,Sub-Saharan Africa,Botswana; Tanzania; Kenya; Zimbabwe; South Africa; Mozambique and others,Savannas; grasslands; open woodlands,Carnivore,Fragmentation; conflict; roads; infectious disease,Connected landscapes; conflict mitigation; disease management,Highly social cooperative hunter,No,-15.0,25.0,No,https://www.iucnredlist.org/search?query=Lycaon%20pictus&searchType=species,https://en.wikipedia.org/wiki/African_Wild_Dog,2026-08-10
SP025,Bonobo,Pan paniscus,Mammalia,Primates,Hominidae,Endangered,4,Decreasing,Congo Basin,Democratic Republic of the Congo,Lowland tropical forest,Omnivore; largely fruit,Hunting; bushmeat trade; habitat loss; instability,Protected areas; law enforcement; community conservation,Occurs naturally only south of the Congo River,No,-3.5,21.5,No,https://www.iucnredlist.org/search?query=Pan%20paniscus&searchType=species,https://en.wikipedia.org/wiki/Bonobo,2026-08-10
SP026,Philippine Eagle,Pithecophaga jefferyi,Aves,Accipitriformes,Accipitridae,Critically Endangered,5,Decreasing,Philippines,Philippines,Primary and secondary tropical forest,Carnivore,Deforestation; hunting; fragmented populations,Nest protection; forest conservation; breeding; education,One of the world's largest forest eagles,No,8.0,125.0,No,https://www.iucnredlist.org/search?query=Pithecophaga%20jefferyi&searchType=species,https://en.wikipedia.org/wiki/Philippine_Eagle,2026-08-10
SP027,Saola,Pseudoryx nghetinhensis,Mammalia,Artiodactyla,Bovidae,Critically Endangered,5,Decreasing,Annamite Mountains,Laos; Vietnam,Wet evergreen and montane forests,Herbivore,Wire snares; hunting; habitat fragmentation,Snare removal; forest protection; surveys; breeding planning,Only scientifically described in 1992,No,18.0,105.5,Yes,https://www.iucnredlist.org/search?query=Pseudoryx%20nghetinhensis&searchType=species,https://en.wikipedia.org/wiki/Saola,2026-08-10
